データ日付,終値,始値,高値,安値
"2018/05/15","22818.02","22889.47","22912.06","22805.72"
"2018/05/16","22717.23","22730.12","22796.14","22695.84"
"2018/05/17","22838.37","22820.62","22887.03","22799.16"
"2018/05/18","22930.36","22907.20","22954.19","22867.30"
"2018/05/21","23002.37","22937.58","23050.39","22935.31"
"2018/05/22","22960.34","23025.95","23031.67","22952.87"
"2018/05/23","22689.74","22868.79","22949.73","22649.85"
"2018/05/24","22437.01","22621.29","22644.69","22366.60"
"2018/05/25","22450.79","22380.22","22509.36","22318.15"
"2018/05/28","22481.09","22488.95","22547.67","22410.91"
"2018/05/29","22358.43","22431.95","22439.10","22240.39"
"2018/05/30","22018.52","22051.97","22079.23","21931.65"
"2018/05/31","22201.82","22163.40","22254.42","22098.00"
"2018/06/01","22171.35","22126.25","22316.91","22098.04"
"2018/06/04","22475.94","22365.09","22515.72","22355.83"
"2018/06/05","22539.54","22552.17","22602.13","22470.04"
"2018/06/06","22625.73","22520.31","22662.82","22498.59"
"2018/06/07","22823.26","22748.72","22856.37","22732.18"
"2018/06/08","22694.50","22799.38","22879.00","22694.50"
"2018/06/11","22804.04","22686.95","22856.08","22667.30"
"2018/06/12","22878.35","22977.22","23011.57","22797.73"
"2018/06/13","22966.38","22896.17","22993.26","22895.31"
"2018/06/14","22738.61","22842.96","22898.39","22738.61"
"2018/06/15","22851.75","22883.24","22885.84","22770.38"
"2018/06/18","22680.33","22806.57","22806.89","22601.13"
"2018/06/19","22278.48","22565.92","22618.52","22278.48"
"2018/06/20","22555.43","22338.53","22581.40","22167.16"
"2018/06/21","22693.04","22523.28","22782.01","22491.08"
"2018/06/22","22516.83","22456.45","22535.65","22414.18"
"2018/06/25","22338.15","22543.56","22556.55","22312.79"
"2018/06/26","22342.00","22160.33","22368.78","22104.12"
"2018/06/27","22271.77","22320.88","22356.54","22205.34"
"2018/06/28","22270.39","22195.19","22299.39","22038.40"
"2018/06/29","22304.51","22314.47","22332.82","22145.48"
"2018/07/02","21811.93","22233.80","22312.25","21784.48"
"2018/07/03","21785.54","21889.06","21927.81","21574.56"
"2018/07/04","21717.04","21679.00","21784.00","21604.18"
"2018/07/05","21546.99","21697.44","21751.50","21462.95"
"2018/07/06","21788.14","21647.66","21866.16","21642.96"
"2018/07/09","22052.18","21838.53","22105.95","21825.76"
"2018/07/10","22196.89","22215.34","22321.60","22196.89"
"2018/07/11","21932.21","22002.14","22044.62","21744.25"
"2018/07/12","22187.96","22036.87","22233.52","22019.19"
"2018/07/13","22597.35","22397.62","22692.86","22316.52"
"2018/07/17","22697.36","22605.73","22832.22","22575.42"
"2018/07/18","22794.19","22917.52","22949.32","22794.19"
"2018/07/19","22764.68","22871.62","22926.47","22761.87"
"2018/07/20","22697.88","22734.56","22869.98","22541.35"
"2018/07/23","22396.99","22480.33","22507.17","22341.87"
"2018/07/24","22510.48","22555.05","22555.05","22416.23"
